Mean: 24.003141
Median: 0.6787130832672119
Minimum: 0.013229
Maximum: 25835.171628
Range: 25835.158399
Interquartile Range: 1.5300428867340088
Standard Deviation: 441.03387
Percentile 0: 0.0132291316986083
Percentile 1: 0.04547829627990715
Percentile 2: 0.06562482833862296
Percentile 3: 0.0798460865020752
Percentile 4: 0.09206579208374015
Percentile 5: 0.10389766693115232
Percentile 6: 0.11675237655639642
Percentile 7: 0.12799135208129883
Percentile 8: 0.13840573310852047
Percentile 9: 0.14870871543884273
Percentile 10: 0.158474588394165
Percentile 11: 0.1678908252716064
Percentile 12: 0.1757237529754638
Percentile 13: 0.18472230911254883
Percentile 14: 0.19415390014648432
Percentile 15: 0.20157599449157712
Percentile 16: 0.20824277877807615
Percentile 17: 0.2156993579864502
Percentile 18: 0.22262661933898922
Percentile 19: 0.23016818046569817
Percentile 20: 0.23721923828124994
Percentile 21: 0.24266044616699217
Percentile 22: 0.25108246803283685
Percentile 23: 0.25739385604858395
Percentile 24: 0.26466507911682124
Percentile 25: 0.2718331813812256
Percentile 26: 0.28028541564941406
Percentile 27: 0.287921142578125
Percentile 28: 0.29498601913452144
Percentile 29: 0.3033732795715332
Percentile 30: 0.3106311798095703
Percentile 31: 0.31998979568481445
Percentile 32: 0.32822308540344236
Percentile 33: 0.3368023777008057
Percentile 34: 0.3485138893127442
Percentile 35: 0.35790600776672354
Percentile 36: 0.3679732704162597
Percentile 37: 0.3796525382995605
Percentile 38: 0.39216574668884274
Percentile 39: 0.4067400169372559
Percentile 40: 0.42464709281921387
Percentile 41: 0.4419364833831785
Percentile 42: 0.4614812755584716
Percentile 43: 0.48296799659729006
Percentile 44: 0.49841823577880856
Percentile 45: 0.5226610183715822
Percentile 46: 0.546113748550415
Percentile 47: 0.5750863742828369
Percentile 48: 0.6081607246398926
Percentile 49: 0.6376179695129394
Percentile 50: 0.6787130832672119
Percentile 51: 0.7100505065917969
Percentile 52: 0.7405577850341797
Percentile 53: 0.769686040878296
Percentile 54: 0.8023728466033944
Percentile 55: 0.8304216384887698
Percentile 56: 0.8659917449951173
Percentile 57: 0.9067503166198729
Percentile 58: 0.9499001979827882
Percentile 59: 0.9855933952331543
Percentile 60: 1.027406883239746
Percentile 61: 1.063167142868042
Percentile 62: 1.0963347148895264
Percentile 63: 1.1321499729156494
Percentile 64: 1.170904092788696
Percentile 65: 1.2106269359588624
Percentile 66: 1.2444025230407716
Percentile 67: 1.2861977958679198
Percentile 68: 1.3368157672882086
Percentile 69: 1.3940823078155518
Percentile 70: 1.4630463600158685
Percentile 71: 1.5140444469451906
Percentile 72: 1.5724786281585692
Percentile 73: 1.6569914627075188
Percentile 74: 1.7206418895721436
Percentile 75: 1.8018760681152344
Percentile 76: 1.909573631286621
Percentile 77: 2.021828012466433
Percentile 78: 2.116288757324219
Percentile 79: 2.256996669769287
Percentile 80: 2.4085027694702155
Percentile 81: 2.564658632278443
Percentile 82: 2.72618906021118
Percentile 83: 2.976450939178467
Percentile 84: 3.2325285148620604
Percentile 85: 3.5105834484100336
Percentile 86: 3.8780013751983686
Percentile 87: 4.352615165710451
Percentile 88: 5.0661821746826154
Percentile 89: 6.0916224098205465
Percentile 90: 7.099770402908331
Percentile 91: 8.388111925125129
Percentile 92: 10.722987766265865
Percentile 93: 13.8158419704438
Percentile 94: 17.208688287734983
Percentile 95: 22.02879276275628
Percentile 96: 29.408994741439816
Percentile 97: 44.690144510269135
Percentile 98: 75.26157151222185
Percentile 99: 233.4258037471775
Percentile 100: 25835.171627998352
